WarehouseCode,ProductKey,DateValue,WIPQty,DressMass,WIPMass
H53,1990-208-02B,2023-03-31,58.0,2846.29,165.08482
H53,1631-203-01E,2023-03-31,2.0,2142.32,4.28464
H53,1631-203-01E,2023-03-31,1.0,2142.32,2.14232
H53,1631-203-01E,2023-03-31,1.0,2142.32,2.14232
H53,1820-03-01B,2023-03-31,2.0,587.4,1.1748
H53,1802-01-04F,2023-03-31,2.0,558.37,1.11674
H53,1802-01-04F,2023-03-31,8.0,558.37,4.46696
H53,2053-301-01A,2023-03-31,8.0,863.19,6.90552
H53,1951-308-01A,2023-03-31,1.0,1601.18,1.60118
H53,2062-100-01B,2023-03-31,4.0,343.37,1.37348
H53,2034-202-02A,2023-03-31,2.0,1788.97,3.57794
H53,2053-200-04A,2023-03-31,8.0,553.38,4.42704
H53,2053-200-04A,2023-03-31,1.0,553.38,0.55338
H53,2053-200-04A,2023-03-31,28.0,553.38,15.49464
H53,1802-01-03F,2023-03-31,11.0,558.37,6.14207
H53,1802-01-03F,2023-03-31,9.0,558.37,5.02533
H53,1837-203-01A,2023-03-31,1.0,908.09,0.90809
H53,2053-200-03A,2023-03-31,4.0,776.55,3.1062
H53,2053-200-03A,2023-03-31,28.0,776.55,21.7434
H53,2053-200-03A,2023-03-31,4.0,776.55,3.1062
H53,N7534-2,2023-03-31,14.0,360.61,5.04854
H53,N7534-2,2023-03-31,1.0,360.61,0.36061
H53,N7534-2,2023-03-31,9.0,360.61,3.24549
H53,1671-00-04H,2023-03-31,3.0,366.05,1.09815
H53,1671-00-04H,2023-03-31,1.0,366.05,0.36605
H53,2045-105-01A,2023-03-31,2.0,1152.12,2.30424
H53,2045-105-01A,2023-03-31,3.0,1152.12,3.45636
H53,2045-105-01A,2023-03-31,5.0,1152.12,5.7606
H53,2045-105-01A,2023-03-31,27.0,1152.12,31.10724
H53,2045-104-01A,2023-03-31,9.0,1667.86,15.01074
H53,2045-104-01A,2023-03-31,4.0,1667.86,6.67144
H53,2045-104-01A,2023-03-31,10.0,1667.86,16.6786
H53,2045-106-01A,2023-03-31,5.0,1531.78,7.6589
H53,2045-106-01A,2023-03-31,6.0,1531.78,9.19068
H53,2045-106-01A,2023-03-31,9.0,1531.78,13.78602
H53,2031-301-01A,2023-03-31,4.0,850.49,3.40196
H53,2031-301-01A,2023-03-31,21.0,850.49,17.86029
H53,2031-301-01A,2023-03-31,1.0,850.49,0.85049
H53,2037-300-01B,2023-03-31,2.0,1788.06,3.57612
H53,2037-300-01B,2023-03-31,1.0,1788.06,1.78806
H53,2037-300-01B,2023-03-31,5.0,1788.06,8.9403
H53,2053-300-01B,2023-03-31,2.0,508.93,1.01786
H53,1951-102-01D,2023-03-31,1.0,2575.04,2.57504
H53,1511-200-02B,2023-03-31,3.0,1693.26,5.07978
H53,N7486-11,2023-03-31,9.0,263.54,2.37186
H53,1511-200-01B,2023-03-31,1.0,1557.64,1.55764
H53,1511-200-01B,2023-03-31,1.0,1557.64,1.55764
H53,1511-200-01B,2023-03-31,2.0,1557.64,3.11528
H53,N7485-10,2023-03-31,8.0,385.55,3.0844
H53,1664-04-02F,2023-03-31,2.0,819.64,1.63928
H53,1802-01-05F,2023-03-31,15.0,413.22,6.1983
H53,1802-01-05F,2023-03-31,1.0,413.22,0.41322
H53,1802-01-05F,2023-03-31,13.0,413.22,5.37186
H53,2047-101-01B,2023-03-31,37.0,1651.08,61.08996
H53,2047-101-01B,2023-03-31,5.0,1651.08,8.2554
H53,2047-203-01A,2023-03-31,1.0,1715.49,1.71549
H53,2035-206-02A,2023-03-31,1.0,4911.04,4.91104
H53,2042-100-01C,2023-03-31,2.0,1505.47,3.01094
H53,2042-203-02A,2023-03-31,1.0,2910.7,2.9107
H53,2042-203-03A,2023-03-31,1.0,2611.78,2.61178
H53,1733-204-02G,2023-03-31,27.0,3290.81,88.85187
H53,1733-204-02G,2023-03-31,28.0,3290.81,92.14268
H53,1733-204-07G,2023-03-31,8.0,4203.44,33.62752
H53,1733-204-07G,2023-03-31,1.0,4203.44,4.20344
H53,1733-204-07G,2023-03-31,29.0,4203.44,121.89976
H53,1733-204-07G,2023-03-31,1.0,4203.44,4.20344
H53,2035-303-01A,2023-03-31,8.0,2272.5,18.18
H53,2035-303-01A,2023-03-31,1.0,2272.5,2.2725
H53,2035-303-01A,2023-03-31,4.0,2272.5,9.09
H53,1733-105-01D,2023-03-31,1.0,2015.31,2.01531
H53,1733-21-01E,2023-03-31,1.0,3414.64,3.41464
H53,1733-22-01E,2023-03-31,4.0,3401.94,13.60776
H53,1733-22-01E,2023-03-31,2.0,3401.94,6.80388
H53,1733-22-01E,2023-03-31,5.0,3401.94,17.0097
H53,1733-22-01E,2023-03-31,1.0,3401.94,3.40194
H53,1671-02-03M,2023-03-31,4.0,668.14,2.67256
H53,2031-305-01B,2023-03-31,24.0,479.45,11.5068
H53,2031-305-01B,2023-03-31,4.0,479.45,1.9178
H53,1671-02-02M,2023-03-31,17.0,639.57,10.87269
H53,1671-02-02M,2023-03-31,18.0,639.57,11.51226
H53,1671-02-02M,2023-03-31,23.0,639.57,14.71011
H53,1671-02-02M,2023-03-31,6.0,639.57,3.83742
H53,1671-02-01M,2023-03-31,50.0,475.36,23.768
H53,1671-02-01M,2023-03-31,11.0,475.36,5.22896
H53,1671-02-01M,2023-03-31,1.0,475.36,0.47536
H53,1671-02-01M,2023-03-31,2.0,475.36,0.95072
H53,2031-101-01C,2023-03-31,2.0,456.77,0.91354
H53,2031-101-01C,2023-03-31,2.0,456.77,0.91354
H53,2031-101-01C,2023-03-31,7.0,456.77,3.19739
H53,2031-105-01B,2023-03-31,2.0,705.34,1.41068
H53,2031-105-01B,2023-03-31,2.0,705.34,1.41068
H53,2031-105-01B,2023-03-31,1.0,705.34,0.70534
H53,2031-106-01C,2023-03-31,1.0,317.51,0.31751
H53,2031-106-01C,2023-03-31,2.0,317.51,0.63502
H53,1711-00-07K,2023-03-31,2.0,335.66,0.67132
H53,2035-105-01B,2023-03-31,4.0,2413.11,9.65244
H53,2035-105-01B,2023-03-31,4.0,2413.11,9.65244
H53,2035-105-01B,2023-03-31,27.0,2413.11,65.15397
H53,2035-105-01B,2023-03-31,1.0,2413.11,2.41311
H53,1980-408-01B,2023-03-31,4.0,3280.83,13.12332
H53,1980-408-01B,2023-03-31,5.0,3280.83,16.40415
H53,1980-207-01E,2023-03-31,1.0,5375.07,5.37507
H53,1980-207-01E,2023-03-31,8.0,5375.07,43.00056
H53,1980-207-01E,2023-03-31,24.0,5375.07,129.00168
H53,1980-207-02E,2023-03-31,1.0,5412.26,5.41226
H53,1980-207-02E,2023-03-31,3.0,5412.26,16.23678
H53,2031-307-01A,2023-03-31,1.0,1128.99,1.12899
H53,2004-302-01D,2023-03-31,6.0,1016.05,6.0963
H53,2004-302-01D,2023-03-31,18.0,1016.05,18.2889
H53,2004-106-01D,2023-03-31,8.0,1409.31,11.27448
H53,2004-106-01D,2023-03-31,14.0,1409.31,19.73034
H53,2004-400-01B,2023-03-31,1.0,1744.97,1.74497
H53,1665-200-02A,2023-03-31,1.0,2046.61,2.04661
H53,1665-200-02A,2023-03-31,7.0,2046.61,14.32627
H53,1665-200-03A,2023-03-31,7.0,1421.1,9.9477
H53,1665-200-03A,2023-03-31,2.0,1421.1,2.8422
H53,1665-200-01A,2023-03-31,1.0,1790.78,1.79078
H53,1665-200-01A,2023-03-31,1.0,1790.78,1.79078
H53,1665-200-01A,2023-03-31,8.0,1790.78,14.32624
H53,1665-200-01A,2023-03-31,2.0,1790.78,3.58156
H53,1665-200-04A,2023-03-31,1.0,1609.8,1.6098
H53,1665-200-04A,2023-03-31,5.0,1609.8,8.049
H53,1665-200-04A,2023-03-31,3.0,1609.8,4.8294
H53,1685-02-01F,2023-03-31,1.0,464.48,0.46448
H53,1685-02-03F,2023-03-31,1.0,490.79,0.49079
H53,2045-200-02C,2023-03-31,1.0,3043.6,3.0436
H53,2045-200-02C,2023-03-31,17.0,3043.6,51.7412
H53,2045-200-02C,2023-03-31,1.0,3043.6,3.0436
H53,2045-200-03C,2023-03-31,21.0,2765.55,58.07655
H53,2045-200-03C,2023-03-31,1.0,2765.55,2.76555
H53,2045-200-03C,2023-03-31,1.0,2765.55,2.76555
H53,2045-200-04C,2023-03-31,26.0,2770.09,72.02234
H53,2045-200-01C,2023-03-31,10.0,3033.17,30.3317
H53,2045-200-01C,2023-03-31,3.0,3033.17,9.09951
H53,2045-200-05C,2023-03-31,2.0,2556.9,5.1138
H53,2045-200-05C,2023-03-31,21.0,2556.9,53.6949
H53,2045-200-05C,2023-03-31,1.0,2556.9,2.5569
H53,2045-200-06C,2023-03-31,1.0,2463.01,2.46301
H53,2045-200-06C,2023-03-31,19.0,2463.01,46.79719
H53,2045-200-06C,2023-03-31,3.0,2463.01,7.38903
H53,2045-200-06C,2023-03-31,1.0,2463.01,2.46301
H53,2045-104-02A,2023-03-31,2.0,1680.56,3.36112
H53,2045-104-02A,2023-03-31,1.0,1680.56,1.68056
H53,2045-104-02A,2023-03-31,1.0,1680.56,1.68056
H53,2045-106-03A,2023-03-31,6.0,1507.29,9.04374
H53,2076-100-01A,2023-03-31,1.0,947.1,0.9471
H53,2045-103-01A,2023-03-31,1.0,1393.89,1.39389
H53,2045-103-01A,2023-03-31,7.0,1393.89,9.75723
H53,2045-103-01A,2023-03-31,5.0,1393.89,6.96945
H53,2045-103-01A,2023-03-31,23.0,1393.89,32.05947
H53,2076-400-01A,2023-03-31,2.0,1942.74,3.88548
H53,2045-104-03A,2023-03-31,6.0,1626.13,9.75678
H53,2045-106-02A,2023-03-31,1.0,1540.85,1.54085
H53,2045-106-02A,2023-03-31,5.0,1540.85,7.70425
H53,2047-203-02B,2023-03-31,1.0,1228.78,1.22878
H53,2047-203-02B,2023-03-31,1.0,1228.78,1.22878
H53,2047-203-02B,2023-03-31,24.0,1228.78,29.49072
H53,2047-203-02B,2023-03-31,1.0,1228.78,1.22878
H53,2047-203-01B,2023-03-31,3.0,1539.95,4.61985
H53,2047-203-01B,2023-03-31,4.0,1539.95,6.1598
H53,2047-203-01B,2023-03-31,13.0,1539.95,20.01935
H53,2076-100-01B,2023-03-31,2.0,948.92,1.89784
H53,1628-200-04B,2023-03-31,1.0,1409.76,1.40976
H53,2063-100-01C,2023-03-31,4.0,484.89,1.93956
H53,2063-100-01C,2023-03-31,10.0,484.89,4.8489
H53,2063-100-01C,2023-03-31,4.0,484.89,1.93956
H53,2063-202-01C,2023-03-31,4.0,727.11,2.90844
H53,2063-202-01C,2023-03-31,26.0,727.11,18.90486
H53,2063-202-01C,2023-03-31,4.0,727.11,2.90844
H53,2063-200-01C,2023-03-31,32.0,722.57,23.12224
H53,2063-200-01C,2023-03-31,4.0,722.57,2.89028
H53,2063-201-01C,2023-03-31,2.0,777.0,1.554
H53,2063-201-01C,2023-03-31,66.0,777.0,51.282
H53,2063-201-01C,2023-03-31,4.0,777.0,3.108
H53,2063-101-01D,2023-03-31,4.0,737.09,2.94836
H53,2063-101-01D,2023-03-31,1.0,737.09,0.73709
H53,1944-102-01D,2023-03-31,1.0,879.97,0.87997
H53,1944-102-01D,2023-03-31,33.0,879.97,29.03901
H53,1944-102-01D,2023-03-31,9.0,879.97,7.91973
H53,1944-102-01D,2023-03-31,15.0,879.97,13.19955
H53,2050-200-01B,2023-03-31,2.0,993.37,1.98674
H53,2050-200-01B,2023-03-31,2.0,993.37,1.98674
H53,2050-200-01B,2023-03-31,2.0,993.37,1.98674
H53,2050-200-02B,2023-03-31,6.0,985.66,5.91396
H53,2050-200-02B,2023-03-31,4.0,985.66,3.94264
H53,2071-103-01B,2023-03-31,2.0,900.83,1.80166
H53,2071-102-01B,2023-03-31,2.0,1685.1,3.3702
H53,2071-100-01B,2023-03-31,6.0,433.18,2.59908
H53,2071-101-01B,2023-03-31,1.0,1056.87,1.05687
H53,2071-101-01B,2023-03-31,3.0,1056.87,3.17061
H53,2004-200-01E,2023-03-31,2.0,1186.14,2.37228
H53,2004-200-01E,2023-03-31,2.0,1186.14,2.37228
H53,2004-200-01E,2023-03-31,45.0,1186.14,53.3763
H53,2004-200-01E,2023-03-31,1.0,1186.14,1.18614
H53,2049-201-01A,2023-03-31,6.0,112.04,0.67224
H53,2049-201-01A,2023-03-31,5.0,112.04,0.5602
H53,2004-200-03E,2023-03-31,1.0,1186.14,1.18614
H53,2004-200-03E,2023-03-31,8.0,1186.14,9.48912
H53,2004-200-03E,2023-03-31,1.0,1186.14,1.18614
H53,2049-101-01A,2023-03-31,4.0,523.9,2.0956
H53,2049-200-01A,2023-03-31,1.0,589.67,0.58967
H53,2049-200-01A,2023-03-31,3.0,589.67,1.76901
H53,2049-200-02A,2023-03-31,1.0,417.3,0.4173
H53,2049-200-02A,2023-03-31,7.0,417.3,2.9211
H53,2049-100-01A,2023-03-31,6.0,358.34,2.15004
H53,2058-200-01A,2023-03-31,2.0,2125.53,4.25106
H53,2058-200-01A,2023-03-31,2.0,2125.53,4.25106
H53,2058-200-02A,2023-03-31,4.0,2344.62,9.37848
H53,1664-301-01D,2023-03-31,3.0,822.36,2.46708
H53,1664-302-01C,2023-03-31,2.0,815.11,1.63022
12A,PA10BC9V,2023-03-31,12.0,129.0,1.548
12A,OC7495S79-3A,2023-03-31,1.0,1124.0,1.124
12A,OC7495S79-3A,2023-03-31,2.0,1124.0,2.248
12A,DELB140X490-1B,2023-03-31,3.0,200.0,0.6
12A,DELB140X490-1B,2023-03-31,1.0,200.0,0.2
12A,OC7495DS84-2A,2023-03-31,9.0,1283.0,11.547
12A,OC7495DS84-2A,2023-03-31,17.0,1283.0,21.811
12A,OC7495DS84-2A,2023-03-31,8.0,1283.0,10.264
12A,OC7495DS84-2A,2023-03-31,3.0,1283.0,3.849
12A,OC7495DS84-2A,2023-03-31,18.0,1283.0,23.094
12A,OC7495DS84-2A,2023-03-31,5.0,1283.0,6.415
12A,OC7495DS84-2A,2023-03-31,14.0,1283.0,17.962
12A,BL996S1400-1A,2023-03-31,20.0,887.0,17.74
12A,BL996S1400-1A,2023-03-31,6.0,887.0,5.322
12A,BL996S1400-1A,2023-03-31,7.0,887.0,6.209
12A,BL996S1400-1A,2023-03-31,16.0,887.0,14.192
12A,BL996S1400-1A,2023-03-31,89.0,887.0,78.943
12A,BL996S1400-1A,2023-03-31,32.0,887.0,28.384
12A,BL996S1400-1A,2023-03-31,6.0,887.0,5.322
12A,BL996S1400-1A,2023-03-31,14.0,887.0,12.418
12A,OC7495S79-3AS,2023-03-31,12.0,1124.0,13.488
12A,OC7495S79-3AS,2023-03-31,17.0,1124.0,19.108
12A,OC7495S79-3AS,2023-03-31,6.0,1124.0,6.744
12A,OC7495S79-3AS,2023-03-31,25.0,1124.0,28.1
12A,OC7495S79-3AS,2023-03-31,14.0,1124.0,15.736
12A,OC7495S79-3AS,2023-03-31,20.0,1124.0,22.48
12A,DELB140X465-4R,2023-03-31,1.0,184.0,0.184
12A,P2P22XALB,2023-03-31,52.0,116.0,6.032
12A,P2P22XALB,2023-03-31,168.0,116.0,19.488
12A,P2P22XALB,2023-03-31,27.0,116.0,3.132
12A,P2P22XALB,2023-03-31,81.0,116.0,9.396
12A,1500-M1-1038,2023-03-31,12.0,1463.0,17.556
12A,DELB140X575-1LA,2023-03-31,2.0,212.0,0.424
12A,DELB140X575-1LA,2023-03-31,2.0,212.0,0.424
12A,DELC45-6B,2023-03-31,8.0,438.0,3.504
12A,A323RC,2023-03-31,11.0,177.0,1.947
12A,A323RC,2023-03-31,4.0,177.0,0.708
12A,A323RC,2023-03-31,127.0,177.0,22.479
12A,A322RC,2023-03-31,12.0,171.0,2.052
12A,A322RC,2023-03-31,4.0,171.0,0.684
12A,A322RC,2023-03-31,12.0,171.0,2.052
12A,P2P22GP,2023-03-31,2.0,78.0,0.156
12A,P2P22GP,2023-03-31,6.0,78.0,0.468
12A,DELP10-2,2023-03-31,48.0,128.0,6.144
12A,DELP10-2,2023-03-31,8.0,128.0,1.024
12A,DELP10-2,2023-03-31,8.0,128.0,1.024
12A,OK340FI1488-3KB,2023-03-31,2.0,5488.0,10.976
12A,DP4100XS87-2A,2023-03-31,2.0,1830.0,3.66
12A,DP4100XSLC1750-1K,2023-03-31,2.0,382.5,0.765
12A,DP4100XSLC1750-1K,2023-03-31,29.0,382.5,11.0925
12A,P2P22XA,2023-03-31,8.0,99.0,0.792
12A,P2P22XA,2023-03-31,16.0,99.0,1.584
12A,PPS10AXH,2023-03-31,1.0,145.0,0.145
12A,OH3600S1270-3A,2023-03-31,3.0,550.0,1.65
12A,OH3600S1270-3A,2023-03-31,1.0,550.0,0.55
12A,OP4100XDT8W-1A,2023-03-31,2.0,4700.0,9.4
12A,PPS30PT,2023-03-31,25.0,222.0,5.55
12A,PPS30PT,2023-03-31,11.0,222.0,2.442
12A,DELC30-25C,2023-03-31,2.0,401.0,0.802
12A,OU8000FI2100-4A,2023-03-31,2.0,5101.0,10.202
12A,OH5500S1350-1A,2023-03-31,1.0,930.0,0.93
12A,OH5500S1350-1A,2023-03-31,5.0,930.0,4.65
12A,OH5500S1350-1A,2023-03-31,7.0,930.0,6.51
12A,OH5500S1350-1A,2023-03-31,44.0,930.0,40.92
12A,OH5500S1350-1A,2023-03-31,1.0,930.0,0.93
12A,OH5500S1350-1A,2023-03-31,16.0,930.0,14.88
12A,DELB140X575-1RA,2023-03-31,2.0,212.0,0.424
12A,DELB140X575-1RA,2023-03-31,1.0,212.0,0.212
12A,DELB140X575-1RA,2023-03-31,1.0,212.0,0.212
12A,DELB120X535-2L,2023-03-31,4.0,162.0,0.648
12A,DELB140X465-4L,2023-03-31,4.0,185.0,0.74
12A,DELB140X465-4L,2023-03-31,4.0,185.0,0.74
12A,DELB140X465-4L,2023-03-31,17.0,185.0,3.145
12A,DELB140X465-4L,2023-03-31,14.0,185.0,2.59
12A,DELP30-3,2023-03-31,8.0,254.0,2.032
12A,DELP30-3,2023-03-31,7.0,254.0,1.778
12A,DELP30-3,2023-03-31,1.0,254.0,0.254
12A,7601-14,2023-03-31,2.0,487.0,0.974
12A,7601-14,2023-03-31,46.0,487.0,22.402
12A,7601-14,2023-03-31,2.0,487.0,0.974
12A,7601-14,2023-03-31,12.0,487.0,5.844
12A,7601-14,2023-03-31,22.0,487.0,10.714
12A,7601-14,2023-03-31,36.0,487.0,17.532
12A,BK56856C,2023-03-31,14.0,828.0,11.592
12A,BK56856C,2023-03-31,6.0,828.0,4.968
12A,BK56856C,2023-03-31,1.0,828.0,0.828
12A,BK57305A,2023-03-31,11.0,1050.0,11.55
12A,BK57305A,2023-03-31,1.0,1050.0,1.05
12A,BK57305A,2023-03-31,3.0,1050.0,3.15
12A,BK57305A,2023-03-31,3.0,1050.0,3.15
12A,BK58096A,2023-03-31,16.0,969.0,15.504
12A,BK58096A,2023-03-31,6.0,969.0,5.814
12A,BK58096A,2023-03-31,12.0,969.0,11.628
12A,BK56856D,2023-03-31,8.0,731.0,5.848
12A,BK56856D,2023-03-31,3.0,731.0,2.193
12A,BK56856D,2023-03-31,6.0,731.0,4.386
12A,BK56856D,2023-03-31,4.0,731.0,2.924
12A,BK56856D,2023-03-31,2.0,731.0,1.462
12A,BK56856D,2023-03-31,1.0,731.0,0.731
12A,DELCB30-5,2023-03-31,4.0,312.0,1.248
12A,BK56856B,2023-03-31,5.0,868.0,4.34
12A,BK56856B,2023-03-31,3.0,868.0,2.604
12A,BK56856B,2023-03-31,2.0,868.0,1.736
12A,BK57469A,2023-03-31,17.0,1275.0,21.675
12A,BK57469A,2023-03-31,19.0,1275.0,24.225
12A,YA00030006C001,2023-03-31,1.0,825.0,0.825
12A,YA00030006C001,2023-03-31,1.0,825.0,0.825
12A,YA00030006C001,2023-03-31,1.0,825.0,0.825
12A,YA00030006C001,2023-03-31,2.0,825.0,1.65
12A,YA00030006C001,2023-03-31,22.0,825.0,18.15
12A,YA00030006C001,2023-03-31,30.0,825.0,24.75
12A,YA00030006C001,2023-03-31,2.0,825.0,1.65
12A,YA00030006C001,2023-03-31,6.0,825.0,4.95
12A,YA00030006C001,2023-03-31,30.0,825.0,24.75
12A,YA00030006C001,2023-03-31,77.0,825.0,63.525
12A,YA00030006C001,2023-03-31,4.0,825.0,3.3
12A,PPS10PLB,2023-03-31,16.0,153.0,2.448
12A,PPS10PLB,2023-03-31,56.0,153.0,8.568
12A,PPS10PLB,2023-03-31,16.0,153.0,2.448
12A,DP4100XSLC1720-1K,2023-03-31,2.0,401.0,0.802
12A,DP4100XSLC1720-1K,2023-03-31,1.0,401.0,0.401
12A,DP4100XSLC1720-1K,2023-03-31,13.0,401.0,5.213
12A,DP4100XS76-4A,2023-03-31,10.0,1820.0,18.2
12A,DP4100XS76-4A,2023-03-31,61.0,1820.0,111.02
12A,DELB140X420-2RA,2023-03-31,3.0,146.0,0.438
12A,DELC30-28,2023-03-31,4.0,303.0,1.212
12A,DELC30-28,2023-03-31,4.0,303.0,1.212
12A,DELC30-28,2023-03-31,4.0,303.0,1.212
12A,DELB140X420-2LA,2023-03-31,2.0,147.0,0.294
12A,BC6090SW2000-1A,2023-03-31,2.0,1206.0,2.412
12A,BC6090SW2000-1A,2023-03-31,50.0,1206.0,60.3
12A,BC6090SLCW1400-1K,2023-03-31,4.0,265.0,1.06
12A,PA30P12H,2023-03-31,24.0,185.0,4.44
